iter	Passed	Remaining
699	19356	8295
700	19379	8266
701	19403	8236
702	19431	8209
703	19458	8181
704	19481	8151
705	19507	8123
706	19531	8094
707	19559	8067
708	19584	8038
709	19610	8009
710	19636	7981
711	19661	7952
712	19685	7924
713	19711	7895
714	19735	7866
715	19760	7837
716	19784	7809
717	19807	7779
718	19832	7750
719	19856	7722
720	19881	7693
721	19906	7664
722	19932	7636
723	19957	7607
724	19983	7579
725	20009	7551
726	20033	7523
727	20057	7494
728	20082	7465
729	20107	7437
730	20132	7408
731	20156	7379
732	20181	7351
733	20205	7322
734	20228	7293
735	20253	7264
736	20277	7235
737	20301	7207
738	20327	7179
739	20353	7151
740	20377	7122
741	20400	7093
742	20426	7065
743	20450	7036
744	20476	7008
745	20499	6979
746	20526	6952
747	20551	6923
748	20577	6895
749	20601	6867
750	20625	6838
751	20650	6810
752	20675	6781
753	20699	6753
754	20724	6725
755	20748	6696
756	20775	6668
757	20797	6639
758	20822	6611
759	20847	6583
760	20873	6555
761	20896	6526
762	20922	6498
763	20947	6470
764	20972	6442
765	20996	6413
766	21018	6385
767	21040	6355
768	21064	6327
769	21090	6299
770	21113	6271
771	21139	6243
772	21163	6215
773	21189	6187
774	21213	6158
775	21239	6130
776	21261	6102
777	21287	6074
778	21311	6046
779	21335	6017
780	21360	5989
781	21385	5961
782	21408	5933
783	21434	5905
784	21458	5877
785	21483	5849
786	21509	5821
787	21535	5793
788	21559	5765
789	21584	5737
790	21607	5709
791	21630	5680
792	21654	5652
793	21676	5623
794	21702	5596
795	21727	5568
796	21754	5541
797	21778	5512
798	21803	5485
799	21828	5457
800	21853	5429
801	21877	5401
802	21902	5373
803	21925	5345
804	21950	5317
805	21974	5289
806	21998	5261
807	22021	5232
808	22047	5205
809	22072	5177
810	22096	5149
811	22121	5121
812	22147	5094
813	22172	5066
814	22197	5038
815	22221	5010
816	22243	4982
817	22267	4954
818	22291	4926
819	22314	4898
820	22338	4870
821	22363	4842
822	22387	4814
823	22411	4786
824	22435	4759
825	22460	4731
826	22485	4703
827	22511	4676
828	22534	4648
829	22558	4620
830	22583	4592
831	22609	4565
832	22634	4537
833	22661	4510
834	22686	4482
835	22711	4455
836	22734	4427
837	22758	4399
838	22782	4371
839	22806	4344
840	22830	4316
841	22854	4288
842	22877	4260
843	22901	4233
844	22927	4205
845	22952	4178
846	22978	4150
847	23002	4123
848	23027	4095
849	23052	4068
850	23077	4040
851	23105	4013
852	23129	3985
853	23154	3958
854	23178	3930
855	23201	3902
856	23225	3875
857	23249	3847
858	23274	3820
859	23296	3792
860	23321	3765
861	23347	3737
862	23375	3710
863	23399	3683
864	23424	3655
865	23446	3627
866	23470	3600
867	23497	3573
868	23521	3545
869	23546	3518
870	23570	3490
871	23594	3463
872	23618	3435
873	23642	3408
874	23669	3381
875	23693	3353
876	23717	3326
877	23741	3298
878	23769	3272
879	23793	3244
880	23819	3217
881	23843	3189
882	23868	3162
883	23890	3134
884	23917	3107
885	23942	3080
886	23967	3053
887	23991	3025
888	24015	2998
889	24040	2971
890	24063	2943
891	24088	2916
892	24110	2888
893	24137	2861
894	24165	2835
895	24190	2807
896	24215	2780
897	24239	2753
898	24263	2725
899	24286	2698
900	24313	2671
901	24338	2644
902	24364	2617
903	24389	2590
904	24417	2563
905	24442	2535
906	24466	2508
907	24489	2481
908	24513	2454
909	24535	2426
910	24560	2399
911	24586	2372
912	24612	2345
913	24638	2318
914	24665	2291
915	24687	2263
916	24712	2236
917	24737	2209
918	24761	2182
919	24784	2155
920	24810	2128
921	24835	2101
922	24859	2073
923	24883	2046
924	24908	2019
925	24932	1992
926	24957	1965
927	24983	1938
928	25010	1911
929	25032	1884
930	25057	1857
931	25080	1829
932	25105	1802
933	25133	1776
934	25160	1749
935	25182	1721
936	25206	1694
937	25230	1667
938	25254	1640
939	25278	1613
940	25306	1586
941	25330	1559
942	25354	1532
943	25378	1505
944	25405	1478
945	25430	1451
946	25453	1424
947	25475	1397
948	25498	1370
949	25522	1343
950	25546	1316
951	25570	1289
952	25592	1262
953	25619	1235
954	25644	1208
955	25669	1181
956	25694	1154
957	25721	1127
958	25745	1100
959	25771	1073
960	25795	1046
961	25821	1019
962	25847	993
963	25875	966
964	25902	939
965	25925	912
966	25949	885
967	25976	858
968	26000	831
969	26024	804
970	26050	778
971	26074	751
972	26099	724
973	26125	697
974	26150	670
975	26176	643
976	26200	616
977	26224	589
978	26249	563
979	26273	536
980	26299	509
981	26322	482
982	26347	455
983	26371	428
984	26396	401
985	26419	375
986	26443	348
987	26468	321
988	26492	294
989	26515	267
990	26539	241
991	26563	214
992	26588	187
993	26613	160
994	26639	133
995	26664	107
996	26687	80
997	26713	53
998	26738	26
999	26763	0
